

# MAIN:
    ~List Profiles 		- {selector broken}
    ~Create Profile 	- {extra options needed}
    ~Open Profile  		- {in working order}
    ~Delete Profile		- {broken}
    ~Clone Profile		- {to be continued}
    ~Rename Profile		- {to be continued}
    ~Display Profile	- {to be continued}

# DaLab (Lobby):
    ~Check Profile Status 		- {/}
    ~Choose Room:
        ->ReconRoom(active)		- {Requires Functions For IPs}
        ->ReconRoom(pasive)		- {ToDo: Sniffer, DeCryptor}
        ->BruteBench			- {ToDo: Bench}
        ->ExploitBench			- {ToDo: Bench, McBreta, SQL_i,..}
        ->FiringRange(VM Clone)	- {ToDo: Research VMs}


# # ReconRoom(active):
    ~> NetMap					- {DONE}
    ~> SubFinder				- {DONE}
        *Probe each SubDomain	- {DONE}
    ~> GoBuster					- {DONE}


# # ReconRoom(passive):
	~> NxSniff'N				- {DONE}
	~> DeCryptor				- {DONE}


# # BruteBench(obsolete):
	~> Tool_Selector			- {ToDo: Alt Terminal+tqdm_Bars}
	~> Word_Lister				- {ToDo: ask Frankie..}

# # ExploitBench(ever evolving):
	~> NxSquelli				- {ToDo: Research}
	~> McBreta					- {ToDo: Research}












